DATA PKS SMK DENGAN INDUSTRI THN 2017 APAC INTI,,,,,,,,
8,,,SMK MA'ARIF NU 1 SUMPIUH,Kab. Banyumas,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
9,,,SMK MUHAMMADIYAH KAJEN,Kab Pekalongan ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. SUMBER BENGAWAN PLASINDO,Industri Karung Plastik,SMKS MUHAMMADIYAH 3 SURAKARTA ,Kota Surakarta,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMKS KATOLIK ST. MIKAEL SURAKARTA,Kota Surakarta,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMKS WARGA SURAKARTA,Kota Surakarta,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
4,,,SMK NEGERI 2 KARANGANYAR,Kab. Karanganyar,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
5,,,SMK KARYA TEKNIKA,Kab. Karanganyar,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. CHAROEN POKPHAND ,"Animal Feedmill (pakan ternak, pengadaan anak ayam dan daging ayam olahan)",SMK NEGERI 1 MOJOSONGO,Kab. Boyolali,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK NEGERI 1 SALAM,Kota Magelang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMK NEGERI 1 KALIBAGOR,Kab. Cilacap ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT.PRIMA CAHAYA INDOBEVERAGE (PT. PEPSI COLA INDOBEVERAGES),"Produksi  Pemasaran, dan Distribusi",SMK NEGERI 1 MOJOSONGO,Kab. Boyolali,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK NEGERI 1 (STM PEMBANGUNAN) TEMANGGUNG,Kab. Temanggung ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,CV. YUDHISTIRA,Ekspor Furniture,SMK BHINNEKA KARYA 1 BOYOLALI,Kab. Boyolali,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,CV. NUANSA KAYU BEKAS,Konstruksi Furniture,SMKN 1 JUWANGI,Kab. Boyolali,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK NEGERI 1 SUKOHARJO,Kab. Sukoharjo,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. LIEBRA PERMANA,Industri Garment,SMK MUHAMMADIYAH 7 WONOSEGORO,Kab. Boyolali,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK MUHAMMADIYAH 1 BOROBUDUR,Kab. Magelang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMK NEGERI 1 KARANGGAYAM,Kab. Kebumen,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. DAN LIRIS,Manufaktur,SMK NEGERI 2 KARANGANYAR,Kab. Karanganyar,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK MUHAMMADIYAH 2 WURYANTORO,Kab. Wonogiri,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMK SUDIRMAN 2 WONOGIRI,Kab. Wonogiri,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. GLOBALINDO INTIMATES,Industri Garment,SMK NEGERI 1 ROTA BAYAT,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK NEGERI 3 KLATEN,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMK NEGERI 4 KLATEN,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
4,,,SMK NEGERI 1 PEDAN,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
5,,,SMK TEKSTIL PEDAN,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
6,,,SMK MUHAMMADIYAH CAWAS,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
7,,,SMK BINA PATRIA BANGSA,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
8,,,SMK SLB B YAAT KLATEN,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. NUANSA PORCELAN,Produk Keramik,SMK NEGERI 1 ROTA BAYAT,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. KOSOEMA NANDA PUTRA,Industri Tekstil,SMK KRISTEN PEDAN,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK PGRI PEDAN,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMK BATUR JAYA 1 CEPER,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
4,,,SMK MUHAMMADIYAH CAWAS,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
5,,,SMK PETRA KARANGDOWO,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. KUSUMA SANDANG MEKARJAYA ,Manufaktur Tekstil,SMK YP DELANGGU,Kab. Klaten,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK YPT MUNTILAN,Kab. Magelang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMK MUHAMMADIYAH 2 BOROBUDUR,Kab. Magelang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. SO GOOD FOOD MANUFACTURING,Food,SMK NEGERI 2 SUKOHARJO,Kab. Sukoharjo,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK HKTI TEMANGGUNG,Kab. Temanggung ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. LENTERA MUTIARA HATI,Furniture,SMK NEGERI 3 SUKOHARJO,Kab. Sukoharjo,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. DELTA DUNIA TEXTILE,Industri tekstil,SMK KRIYA SAHID SUKOHARJO,Kab. Sukoharjo,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. KOTA JATI FURNINDO,Furniture,SMK NEGERI 1 MAGELANG,Kota Magelang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,CV. MEBEL INTERNATIONAL,Furniture,SMK PANGUDI LUHUR MUNTILAN,Kab. Magelang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. JANATA MARINA INDAH,Perkapalan (Galangan Kapal),SMK NEGERI 1 PURWOREJO,Kab. Purworejo,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
