DATA PKS SMK DENGAN INDUSTRI THN 2017 APAC INTI,,,,,,,,
1,PT. ASTRA DAIHATSU MOTOR,Perakitan dan Penjualan Kendaraan (Otomotif),SMK PANCASILA 1 KUTOHARJO,Kab. Purworejo,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK YPT TEGAL,Kota Tegal,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. INTI SUKSES GARMINDO,Industri Garment,SMK MUHAMMADIYAH 1 NGADIREJO,Kab. Temanggung ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. INDOTIRTA JAYA ABADI,Air Minum Kemasan,SMK NEGERI 1 (STM PEMBANGUNAN) TEMANGGUNG,Kab. Temanggung ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. KUBOTA INDONESIA,Manufaktur Mesin Diesel,SMK MA'ARIF 1 KEBUMEN,Kab. Kebumen,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK NURUL ISLAM LARANGAN,Kab. Brebes,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMK WIWOROTOMO PURWOKERTO,Kab. Banyumas,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. JABAKU KARABA TECHNOLOGIES,Rekayasa Robot untuk mesin industri ( Automation ),SMK NEGERI 1 GOMBONG,Kab. Kebumen,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK NEGERI 1 ADIWERNA,Kab. Tegal,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,"PT. HOLCIM INDONESIA, TBK",Produksi dan Distribusi Semen,SMK NEGERI 1 CILACAP,Kab. Cilacap ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK NEGERI 2 CILACAP,Kab. Cilacap ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMK DR. SOETOMO CILACAP,Kab. Cilacap ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
4,,,SMK BUDI OETOMO 3 MAOS,Kab. Cilacap ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. LEO AGUNG RAYA,Minuman Jamu ,SMK FARMASI MAJENANG,Kab. Cilacap ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. SINAR TAMBANG ARTHALESTARI ,Industri Semen,SMK NEGERI 2 PURWOKERTO,Kab. Cilacap ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK MUHAMMADIYAH 2 AJIBARANG,Kab. Banyumas,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMK WIWOROTOMO PURWOKERTO,Kab. Banyumas,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
4,,,SMK MA'ARIF 1 AJIBARANG,Kab. Banyumas,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. PISMATEX,Manufaktur Tekstil,SMK NEGERI 1 BAWANG,Kab. Banjarnegara,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK NEGERI 1 KEPIL,Kab. Wonosobo,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMK INFORMATIKA WONOSOBO,Kab. Wonosobo,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. PISMA PUTRA TEXTILE,Manufaktur Tekstil,SMK NEGERI 1 PEKALONGAN,Kota Pekalongan ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK BAITUSSALAM,Kota Pekalongan ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMK NEGERI 1 KEDUNGWUNI,Kab Pekalongan ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
4,,,SMK NEGERI 1 KARANGDADAP,Kab Pekalongan ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
5,,,SMK MA'ARIF NU TIRTO,Kab Pekalongan ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. PRIMATEXCO INDONESIA,Manufaktur Tekstil,SMK NEGERI 3 PEKALONGAN,Kota Pekalongan ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK NEGERI 1 KEDUNGWUNI,Kab Pekalongan ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMK NEGERI 1 BATANG,Kab. Batang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
4,,,SMK NEGERI 1 BLADO,Kab. Batang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
5,,,SMK NEGERI 1 KANDEMAN,Kab. Batang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
6,,,SMK NEGERI 1 WARUNGASEM,Kab. Batang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
7,,,SMK BHAKTI PRAJA 2 BATANG,Kab. Batang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
8,,,SMK BHAKTI PRAJA BATANG,Kab. Batang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
9,,,SMK BARDAN WASALAMAN BATANG,Kab. Batang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. EVERCROSS TECHNOLOGY INDONESIA,Distributor Smartphone,SMK YPT TEGAL,Kota Tegal,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. PAGILARAN,"Perkebunan, Perindustrian, Perdagangan, dan Kosultasi.",SMK NEGERI 1 BLADO,Kab. Batang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK MA'ARIF NU NUSAHADA REBAN,Kab. Batang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMK MA'ARIF NU PENCALUNGAN,Kab. Batang,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. TERRYHAM PROPLAS INDONESIA,Produksi UPVC,SMK NEGERI 1 BULAKAMBA,Kab. Brebes,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK MA'ARIF NU 2 BUMIAYU,Kab. Brebes,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMK NEGERI 1 KERSANA,Kab. Brebes,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
4,,,SMK ANDALUSIA JATIBARANG,Kab. Brebes,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
5,,,SMK NEGERI 1 TONJONG,Kab. Brebes,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. VICTORIA CARE INDONESIA,"Kosmetik, Toiletris dan Perawatan Kesehatan",SMK MITRA KARYA MANDIRI,Kab. Brebes,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,PT. INDONESIA STEEL TUBE WORKS,Produsen Tabung Baja,SMK TEXMACO PEMALANG,Kab. Pemalang ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
